City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),Area Type,State
Bangalore,Konadasapura,Office Space,21595867.1294001,Unfurnished,0,0,Connected,0,0,0,0,36945.0,Area,Karnatka
Bangalore,Yelenahalli,Apartment,10300000.0,Unfurnished,2,2,Room-attached,0,0,0,0,644.0,Area,Karnatka
Bangalore,Hennur Road,Apartment,15000000.0,Unfurnished,2,2,Individual,1,1,1,0,1461.0,Area,Karnatka
Bangalore,Hennur,Apartment,11800000.0,Unfurnished,2,2,Individual,0,0,0,0,1441.0,Area,Karnatka
Bangalore,Hoodi,Villa,47700000.0,Unfurnished,4,4,Individual,1,1,1,0,3420.0,Area,Karnatka
Bangalore,Thanisandra Main Road,Apartment,14500000.0,Unfurnished,2,2,Individual,0,1,1,0,1265.0,Area,Karnatka
Bangalore,Rajarajeshwari Nagar,Apartment,8500000.0,Unfurnished,1,1,Connected,0,1,1,0,672.0,Area,Karnatka
Bangalore,Kanakapura Road,Apartment,10000000.0,Unfurnished,2,2,Room-attached,0,0,0,0,1040.0,Area,Karnatka
Bangalore,Bagaluru,Apartment,11000000.0,Unfurnished,3,2,Individual,1,1,1,0,1068.0,Area,Karnatka
Bangalore,Bilekahalli,Apartment,21500000.0,Unfurnished,2,2,Individual,0,0,0,0,1234.0,Area,Karnatka
Bangalore,Jakkuru,Apartment,147000000.0,Unfurnished,3,2,Individual,0,0,0,0,2250.0,Area,Karnatka
Bangalore,Chandapura,Apartment,5500000.0,Unfurnished,2,2,Individual,0,0,0,0,940.0,Area,Karnatka
Bangalore,Kanaka Nagar,Builder Floor,75000000.0,Unfurnished,2,6,Connected,0,0,0,0,9000.0,Area,Karnatka
Bangalore,Hosur Road,Apartment,9800000.0,Unfurnished,2,2,Connected,1,1,1,0,838.0,Area,Karnatka
Bangalore,Kogilu Road,Apartment,15000000.0,Unfurnished,2,2,Individual,0,0,0,0,916.0,Area,Karnatka
Bangalore,Whitefield,Apartment,10500000.0,Unfurnished,2,2,Connected,0,0,0,0,1320.0,Area,Karnatka
Bangalore,Bannerghatta Road,Apartment,16500000.0,Unfurnished,2,2,Connected,1,1,1,0,1130.0,Area,Karnatka
Bangalore,Whitefield,Apartment,12800000.0,Unfurnished,2,2,"Connected,Individual,Room-attached",0,0,0,0,1263.0,Area,Karnatka
Bangalore,Whitefield,Apartment,13300000.0,Unfurnished,3,3,"Connected,Individual,Room-attached",0,0,0,0,1576.0,Area,Karnatka
Bangalore,Kanakapura Road,Apartment,66000000.0,Unfurnished,4,3,Connected,0,0,0,0,3554.0,Area,Karnatka
Bangalore,Balagere,Apartment,27000000.0,Unfurnished,3,3,Individual,0,1,1,0,1805.0,Area,Karnatka
Bangalore,Devanahalli,Apartment,7000000.0,Unfurnished,3,3,Individual,0,0,0,0,1605.0,Area,Karnatka
